#,Time,fIdx,sIdx,sLen,fImg,cObj,cNam,cCon,tcBr,tcCo,tcUs,tcDs
180,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,30,1,-1,-1
181,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,40,1,-1,-1
182,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,50,1,-1,-1
183,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,60,1,-1,-1
184,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,70,1,-1,-1
185,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,80,1,-1,-1
186,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,90,1,-1,-1
187,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.78,100,1,-1,-1
188,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,0,1,-1,-1
189,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,10,1,-1,-1
190,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
191,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
192,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,40,1,-1,-1
193,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
194,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,60,1,-1,-1
195,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,70,1,-1,-1
196,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,80,1,-1,-1
197,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,90,1,-1,-1
198,,..\..\data\highreflection/frame000087.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,100,1,-1,-1
199,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
200,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
201,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
202,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
203,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,40,1,-1,-1
204,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
205,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,60,1,-1,-1
206,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,70,1,-1,-1
207,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,80,1,-1,-1
208,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,90,1,-1,-1
209,,..\..\data\highreflection/frame000088.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,100,1,-1,-1
210,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
211,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
212,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,20,1,-1,-1
213,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,30,1,-1,-1
214,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,40,1,-1,-1
215,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,50,1,-1,-1
216,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,60,1,-1,-1
217,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,70,1,-1,-1
218,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,80,1,-1,-1
219,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,90,1,-1,-1
220,,..\..\data\highreflection/frame000089.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,100,1,-1,-1
221,,..\..\data\highreflection/frame000090.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1,-1,-1
